,description,Address,Price,Bedroom,Bathroom,Toilet,date,State,Location
5644,Luxury 4 Bedroom Townhouse + 2 Room Boy's Quarters, Ikoyi Ikoyi Lagos ,1125000000,4,4,5,2023-05-29,Lagos,Ikoyi
5645,Fully Serviced 5 Bedroom Terraced Duplex With Gym, Ologolo Lekki Lagos ,120000000,5,5,6,2023-05-29,Lagos,Lekki
5646,Brand New 5 Bedroom Fully Detached Duplex Plus Bq, Ologolo Lekki Lagos ,130000000,5,5,6,2023-05-29,Lagos,Lekki
5647,Brand New 5 Bedroom Fully Detached Duplex + Bq, Ologolo Lekki Lagos ,140000000,5,5,6,2023-05-29,Lagos,Lekki
5648,Tastefully Finished 4 Bedroom Detached Duplex With Swimming Pool & Bq, Chevron Toll Gate Lekki Lagos ,120000000,4,5,6,2023-05-29,Lagos,Lekki
5649,Luxury 4 Bedroom Penthouse With Scenic View Of The City, Ikoyi Ikoyi Lagos ,700000000,4,4,5,2023-05-29,Lagos,Ikoyi
5650,Luxury 3 Bedroom Detached Duplex With Fully Fitted Bath, Chevron Chevron Drive Lekki Lagos ,75000000,3,3,0,2023-05-29,Lagos,Lekki
5651,Newly Built 5 Bedroom Detached House With Bq, Lekki Agungi Lekki Lagos ,135000000,5,5,0,2023-05-29,Lagos,Lekki
5652,Brand New Sprawling 5 Bedroom Detached Duplex, Victory Park Osapa Lekki Lagos ,300000000,5,5,0,2023-05-29,Lagos,Lekki
5653,Spacious 2 Semi Bedroom Detached House, Lekki Lekki Phase 1 Lekki Lagos ,45000000,2,2,0,2023-05-29,Lagos,Lekki
5654,Tastefully Finished 3 Bedroom Terrace, Chisco Ikate Ikate Elegushi Lekki Lagos ,85000000,3,3,4,2023-05-27,Lagos,Lekki
5655,4 Bedroom Semi Detached Duplex For Sale, Ikota Ikota Lekki Lagos ,55000000,4,4,4,2023-05-28,Lagos,Lekki
5656,4 4bedroom Semi Detached Duplex For Sale, Ikota Ikota Lekki Lagos ,55000000,4,4,4,2023-05-28,Lagos,Lekki
5657,Exquisite 4 And 3 Bedroom Houses For Sale, Lekki Gardens Phase 3 Lekki Expressway Lekki Lagos ,65000000,4,5,5,2023-05-28,Lagos,Lekki
5658,4 Bedroom Penthouse + Boys Quarter In Lekki Lagos, Bloom Residences Estate Ikate Elegushi Lekki Lagos ,175000000,4,5,5,2023-05-28,Lagos,Lekki
5659,Deposit 10million Then Spread Your Balance Within 18months To Buy This 2bedroom Terrace Duplex With A Boys Quarter In Lekki Lagos., Bloom Towers Estate Ikate Elegushi Lekki Lagos ,75000000,2,3,3,2023-05-28,Lagos,Lekki
