,description,Address,Price,Bedroom,Bathroom,Toilet,date,State,Location
0,Tastefully Finished 3 Bedroom Terrace, Chisco Ikate Ikate Elegushi Lekki Lagos ,85000000,3,3,4,2023-05-27,Lagos,Lekki
1,3bedroom Terrace, Sangotedo Ajah Lagos ,45000000,3,0,0,2023-05-29,Lagos,Ajah
2,4bedroom Top Notch, 2nd Toll Gate Lekki Lekki Lagos ,75000000,4,0,0,2023-05-29,Lagos,Lekki
3,Executive 4 Bedroom Fully Detached Duplex With Ample Parking Space, Nicon Town Estate Lekki Lagos ,250000000,4,4,5,2023-05-29,Lagos,Lekki
4,Magnificent Luxury 4 Bedroom Semi Detached With Bq, Agungi Lekki Lagos ,130000000,4,4,5,2023-05-29,Lagos,Lekki
5,Newly Built 4 Bedroom And 1 Bq Fully Serviced Terrace Duplex, Chevron Drive Lekki Lagos ,72000000,4,0,0,2023-05-29,Lagos,Lekki
6,5 Bedroom Detached Duplex And 1bq, Chevron Drive Lekki Lagos ,125000000,5,0,0,2023-05-29,Lagos,Lekki
7,4 Bedroom Semidetached Duplex And 1bq, Chevron Drive Lekki Lagos ,85000000,4,0,0,2023-05-29,Lagos,Lekki
8,4 Bedroom Semidetached Duplex And 1bq, Chevron Drive Lekki Lagos ,85000000,4,0,0,2023-05-29,Lagos,Lekki
9,Newly Built 4 Bedroom And 1 Bq Fully Serviced Terrace Duplex, Chevron Drive Lekki Lagos ,100000000,4,0,0,2023-05-29,Lagos,Lekki
10,Tasteful Luxury Of 4 Bedroom Terrace Duplex For Sale, Atlantic View Estate Igbo Efon. Igbo Efon Lekki Lagos ,95000000,4,4,5,2023-05-29,Lagos,Lekki
11,Spacious 4 Bedroom Terrace Duplex And A Bq In An Estate, Ikate Elegushi Lekki Lagos ,185000000,4,0,0,2023-05-29,Lagos,Lekki
12,4 Bedroom Detached Duplex, Lekki Lagos ,130000000,4,0,0,2023-05-29,Lagos,Lekki
13,5 Bedroom Detached Duplex, Lekki Lagos ,160000000,5,0,0,2023-05-29,Lagos,Lekki
14,4 Bedroom Semidetached Duplex, Mega Chicken Ikota Lekki Lagos ,79000000,4,0,0,2023-05-29,Lagos,Lekki
15,3 Bedroom Semi Detached Duplex With Bq, Ako Ado Behind Lbs Ajah Lagos ,65000000,3,3,4,2023-05-29,Lagos,Ajah
16,Decently Finished 4 Bedroom Semi Detached Duplex, Lekki Ajah Lagos ,85000000,4,5,6,2023-05-29,Lagos,Ajah
17,"*🔆fully Automated Contemporary Styled 5 Bed Fully Detached Duplex With Private Elevator, Cinema And Swimming Pool", Ikoyi Ikoyi Lagos ,1200000000,5,5,6,2023-05-29,Lagos,Ikoyi
18,*🔆value Centric 4 Bed Semi Detached Duplex🔆* , Idado Lekki Lagos ,90000000,4,4,5,2023-05-29,Lagos,Lekki
19,"*🔆magnificent 4 Bed Semi Detached Duplex With Elevator, Pool, Study, Gym, Rooftop And Cinema", Lekki Phase 1 Lekki Lagos ,370000000,4,4,5,2023-05-29,Lagos,Lekki
20,*🔆magnificent Luxury 5 Bed Fully Detached Home With Swimming Pool🔆*, Ikate Lekki Lagos ,350000000,5,5,6,2023-05-29,Lagos,Lekki
21,Lovely Fully Detached 12 Unit Of 5bedroom, Ajah Lagos ,95000000,5,0,0,2023-05-29,Lagos,Ajah
22,4 Bedroom Semi Detached With Bq, Victoria Garden City Lekki Lagos ,85000000,4,4,5,2023-05-27,Lagos,Lekki
23,Outstanding 4 Bedroom Semi Detached Home With Rooftop Terrace And A Bq, Osapa Lekki Lagos ,120000000,4,4,5,2023-05-29,Lagos,Lekki
24,Premium 4 Bedroom Semi Detached Duplex With Bq, Osapa Lekki Lagos ,120000000,4,4,5,2023-05-29,Lagos,Lekki
25,Beautiful Luxury 4 Bedroom Semi Detached Duplex With Bq, Agungi Lekki Lagos ,100000000,4,4,5,2023-05-29,Lagos,Lekki
26,4 Bedroom En Suite Semi Detached And Bq In A Mini Estate, Victoria Garden City Lekki Lagos ,80000000,4,0,0,2023-05-29,Lagos,Lekki
27,2 In 1 4 Bedroom En Suite Semi Detached In A Mini Estate, Victoria Garden City Lekki Lagos ,78000000,4,0,0,2023-05-29,Lagos,Lekki
28,4 Bedroom Semidetached Duplex And 1bq, 2nd Toll Gate Lekki Lagos ,83000000,4,0,0,2023-05-29,Lagos,Lekki
29,Spacious 4 Bedroom Semidetached Duplex And A Bq, Orchid Road Second Toll Gate Lekki Lagos ,75000000,4,0,0,2023-05-29,Lagos,Lekki
30,Spacious 6 Bedroom Detached Duplex And A Bq In An Estate, Second Toll Gate Lekki Lagos ,160000000,6,0,0,2023-05-29,Lagos,Lekki
31,Spacious 5 Bedroom Detached Duplex And A Bq In A Newly Built Service Estate, Ikate Elegushi Lekki Lagos ,220000000,5,0,0,2023-05-29,Lagos,Lekki
32,3 Bedroom Flats Plus Bq, Oregun Ikeja Lagos ,3500000,3,3,3,2023-05-27,Lagos,Ikeja
33,Spacious 5 Bedroom Detached Duplex And A Bq In A Newly Built Service Estate, Ikate Elegushi Lekki Lagos ,300000000,5,0,0,2023-05-29,Lagos,Lekki
34,Lovely Fully Detached 12 Unit Of 5bedroom, Ajah Lagos ,95000000,5,0,0,2023-05-29,Lagos,Ajah
35,4 Bedroom Detached Duplex And 1bq, Chevron Drive Lekki Lagos ,110000000,4,0,0,2023-05-29,Lagos,Lekki
36,5 Bedroom Fully Detached Duplex, Osapa Lekki Lagos ,165000000,5,5,6,2023-05-29,Lagos,Lekki
37,*🔆tastefully Finished 4 Bed Fully Detached Duplex With Bq🔆*, Ikota Lekki Lagos ,125000000,4,4,5,2023-05-29,Lagos,Lekki
38,Astonishingly Beautiful 5 Bedroom Fully Detached Duplex With Bq& Security House, Victory Pack Estate Osapa London Osapa Lekki Lagos ,270000000,5,5,6,2023-05-29,Lagos,Lekki
39,Stunning 4 Bed Semi Detached Duplex With Bq, Ajah Lekki Lagos ,85000000,4,4,5,2023-05-29,Lagos,Lekki
40,4 Bedroom En Suite Terrace Duplex, Lekki Lagos ,3500000,4,0,0,2023-05-29,Lagos,Lekki
41,Brand New 4 Bedroom Terrace In A Serene Neighborhood, Lekki Phase 1 Lekki Lagos ,180000000,4,4,5,2023-05-29,Lagos,Lekki
42,Automated 5 Bedroom Detached Duplex In A Secured Estate, Lekki Phase 1 Lekki Lagos ,400000000,5,5,6,2023-05-29,Lagos,Lekki
43,Newly Built 5 Bedroom Detached Duplex In A Gated Neighborhood, Lekki Phase 1 Lekki Lagos ,450000000,5,5,6,2023-05-29,Lagos,Lekki
44,Tastefully Finished 3 Bedroom Terrace, Chisco Ikate Ikate Elegushi Lekki Lagos ,85000000,3,3,4,2023-05-27,Lagos,Lekki
45,Exquisitely Finished 4bedroom Terrace, Ikate Lekki Phase 1 Lekki Lagos ,120000000,4,0,0,2023-05-29,Lagos,Lekki
46,Lovely Fully Detached 12 Unit Of 5bedroom, Ajah Lagos ,95000000,5,0,0,2023-05-29,Lagos,Ajah
47,3 Bedroom En Suite Terrace Duplex In A Mini Estate, Victoria Garden City Lekki Lagos ,58000000,3,0,0,2023-05-29,Lagos,Lekki
48,4 Bedroom Terrace Duplex, Ikate Elegushi Lekki Lagos ,135000000,4,0,0,2023-05-29,Lagos,Lekki
49,5 Bedroom Detached Duplex, Lekki Lagos ,180000000,5,0,0,2023-05-29,Lagos,Lekki
50,Spacious 4 Bedroom Semi Detached Duplex And 1 Bq, Orchid Second Toll Gate Lekki Lagos ,110000000,4,0,0,2023-05-29,Lagos,Lekki
51,Spacious 4 Bedroom Terrace In An Estate, 2nd Toll Gate Lekki Lagos ,60000000,4,0,0,2023-05-29,Lagos,Lekki
52,4 Bedroom Detached Duplex And 1bq, Chevron Drive Lekki Lagos ,110000000,4,0,0,2023-05-29,Lagos,Lekki
53,*🔆beautifully Built Contemporary 4 Bed Semi Detached Duplex With Bq🔆*, Ikate Lekki Lagos ,150000000,4,4,5,2023-05-29,Lagos,Lekki
54,Tastefully Finished 4 Bedroom Detached Duplex, By Chevron Toll Gate Chevron Drive Lekki Lagos ,110000000,4,4,5,2023-05-27,Lagos,Lekki
55,The Signature Terrace Homes And Apartments Abijo, Abijo Ajah Lagos ,70000000,5,5,6,2023-05-29,Lagos,Ajah
56,Luxurious 5 Bedroom Detached Duplex With Bq Swimming Pool And Generator, Chevron Lekki Lagos ,280000000,5,5,6,2023-05-29,Lagos,Lekki
57,4 Bedroom Semidetached Duplex, Agungi Lekki Lagos ,95000000,4,0,0,2023-05-29,Lagos,Lekki
58,Premium 3 Bedroom Terraced Duplex With Study, Lekki Phase 1 Lekki Lagos ,160000000,3,3,4,2023-05-29,Lagos,Lekki
59,Spacious 4 Bedroom Terrace And 1 Bq, Orchid Second Toll Gate Lekki Lagos ,68000000,4,0,0,2023-05-29,Lagos,Lekki
60,Attractively Built 12 Units Of 2bedroom Flats, Agility Estate Ketu Lagos ,160000000,2,0,0,2023-05-29,Lagos,Ketu
61,The Alverton 2 Bedroom Terrace + Maid House, Abraham Adesanya Ajah Lagos ,49000000,2,2,3,2023-05-29,Lagos,Ajah
62,Newly Built Decently Finished 4 Bedroom Detached Duplex, Ologolo Lekki Lagos ,120000000,4,4,5,2023-05-29,Lagos,Lekki
63,Beautifully Furnished 5 Bedroom Fully Detached Duplex, Ologolo Lekki Lagos ,145000000,5,5,6,2023-05-29,Lagos,Lekki
64,Paragon 2 Bedroom Terrace With Bq, Abraham Adesanya Ajah Lagos ,60000000,2,2,3,2023-05-29,Lagos,Ajah
65,*🔆fully Serviced Automated 4 Bed Fully Detached Duplex In A Mini Estate🔆, Lekki Phase 1 Lekki Lagos ,275000000,4,4,5,2023-05-29,Lagos,Lekki
66,A Luxurious Furnished 6 Bedroom Waterview Detached Duplex With State Of The Art Facilities, Shoreline Estate Ikoyi Lagos ,-2147483648,6,6,6,2023-05-27,Lagos,Ikoyi
67,Brand New 5 Bedroom Semi Detached Home In An Estate, Ikate Elegushi Lekki Lagos ,400000000,5,5,6,2023-05-29,Lagos,Lekki
68,4 Bedroom En Suite Semi Detached And Bq In A Mini Estate, Victoria Garden City Lekki Lagos ,60000000,4,0,0,2023-05-29,Lagos,Lekki
69,4 Bedroom En Suite Semi Detached And Bq In A Mini Estate, Victoria Garden City Lekki Lagos ,100000000,4,0,0,2023-05-29,Lagos,Lekki
70,The Pantheon 4 Bedroom Terrace, Lekki Lagos ,58000000,4,4,5,2023-05-29,Lagos,Lekki
71,*🔆decently Finished 5 Bed Fully Detached Home🔆* , Ologolo Lekki Lagos ,135000000,5,5,6,2023-05-29,Lagos,Lekki
72,Newly Built En Suite 4 Bedroom And 1 Bq Semidetached Duplex, Lekki Ajah Lagos ,60000000,4,0,0,2023-05-29,Lagos,Ajah
73,Spacious 5 Bedroom Detached House In A Serene Neighborhood, Lekki Phase 1 Lekki Lagos ,300000000,5,5,6,2023-05-29,Lagos,Lekki
74,Value Centric 4 Bedroom Fully Detached Duplex, Idado Lekki Lagos ,120000000,4,4,6,2023-05-29,Lagos,Lekki
75,*stunning Contemporary 4 Bed Fully Detached Duplex With Swimming Pool, Chevron Lekki Lagos ,250000000,4,4,5,2023-05-29,Lagos,Lekki
76,Decently Finished 4 Bedroom Semi Detached Duplex, Lekki Ajah Lagos ,85000000,4,5,6,2023-05-29,Lagos,Ajah
77,Comfort Luxury Guaranteed 3 Bedroom Room Semi Detached Duplex With Bq, Sangotedo Ajah Lagos ,58000000,3,3,4,2023-05-29,Lagos,Ajah
78,Luxury 3bedroom Duplex With Bq, Opposite Abijo Gra 2nd Gate Lekki Epe Expressway Abijo Ajah Lagos ,45000000,3,3,4,2023-05-29,Lagos,Ajah
79,2 Bedroom Terrace Duplex, Ogombo Abraham Adesanya Ajah Lagos ,59900000,2,3,4,2023-05-29,Lagos,Ajah
80,5bedroom Fully Detached Duplex With A Bq, Ikoyi Ikoyi Lagos ,1300000000,5,5,6,2023-05-29,Lagos,Ikoyi
81,Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool + Cinema +gym, Vintage Park Estate Ikate Elegushi Lekki Lagos ,800000000,5,5,6,2023-05-29,Lagos,Lekki
82,Tastefully Finished 4 Bedroom Semi Detached Duplex With Bq, Victoria Garden City Lekki Lagos ,160000000,4,4,5,2023-05-29,Lagos,Lekki
83,Cheap Luxury 2bedroom Terrace Duplex With Bq At Peak Terrace 2, Opposite 2nd Gate Abijogra Lekki Epe Expressway Abijo Ajah Lagos ,40000000,2,2,3,2023-05-29,Lagos,Ajah
84,Dope 4 Bedroom Terrace Duplex With Bq For Sale!!!," Orchid, 2nd Toll Gate Lekki. Chevron Drive Lekki Lagos ",75000000,4,6,6,2023-05-29,Lagos,Lekki
85,4 Bedroom Semi Detached Duplex With Bq For Sale!!!!, Ikate Elegushi Lekki Lagos ,120000000,4,4,5,2023-05-29,Lagos,Lekki
86,Ovely 4& 5 Bedroom Contemporary Fully Detached Duplex, Orchid Lekki Lagos ,120000000,0,0,0,2023-05-29,Lagos,Lekki
87,Luxury 4 Bedroom Semi Detached Duplex, Orchid Lekki Lagos ,75000000,4,0,0,2023-05-29,Lagos,Lekki
88,4bedroom Semi Detached Duplex With A Bq, Orchid Lekki Lagos ,85000000,4,4,5,2023-05-29,Lagos,Lekki
89,Tastefully Finished 4 Bedroom Detached Duplex With Swimming Pool + Elevator, Guzape Abuja Phase 1 Abuja ,400000000,4,4,5,2023-05-29,Abuja,1
90,4 Bedroom Terrace Duplex With Bq For Sale!!!, Ikate Elegushi Lekki Lagos ,135000000,4,5,5,2023-05-29,Lagos,Lekki
91,New 4 Bedroom Semi Detached Duplex With Bq For Sale!!!!, Ikate Elegushi Lekki Lagos ,168000000,4,4,6,2023-05-29,Lagos,Lekki
92,Discounted 2 Bedroom Forsale, Abraham Adesanya Ogombo Ogombo Ajah Lagos ,43500000,2,2,3,2023-05-29,Lagos,Ajah
93,Tasteful Luxury Of 4 Bedroom Terrace Duplex For Sale, Atlantic View Estate Igbo Efon. Igbo Efon Lekki Lagos ,95000000,4,4,5,2023-05-29,Lagos,Lekki
94,Newly Built 4 Bedroom Duplex, Farmville Estate Sangotedo Ajah Lagos ,60000000,4,4,4,2023-05-29,Lagos,Ajah
95,5bedroom Fully Detached Duplex With A Bq, Ikate Lekki Lagos ,185000000,5,5,6,2023-05-29,Lagos,Lekki
96,4 Bedroom Fully Detached Duplex With Bq For Sale!!!!, Ikota Lekki Lagos ,100000000,5,5,5,2023-05-29,Lagos,Lekki
97,3 Bedroom Terrace, Beside Vgc Victoria Garden City Lekki Lagos ,75000000,3,3,4,2023-05-29,Lagos,Lekki
98,Affordable 3 Bedroom Terrace Duplex In A Shared Compound," Pentagon Court Phase 5, Ikota, Lekki, Lagos Ikota Lekki Lagos ",55000000,3,3,4,2023-05-27,Lagos,Lekki
99,Brand New Fully Furnished 4 Bedroom Duplex With Bq, Serviced Estate Ologolo Lekki Lagos ,145000000,4,4,5,2023-05-29,Lagos,Lekki
100,Available Pay And Park In 2 Bedroom Bungalow At Queen's Homes, Queen Park Diana Court Mowe Offada Mowe Ogun Area Ogun ,18500000,2,2,3,2023-05-29,Ogun,Area
101,Brand New 4 Bedroom Duplex, Meadow Hall Road Ikate Elegushi Lekki Lagos ,95000000,4,4,5,2023-05-29,Lagos,Lekki
102,Available Pay And Pack In 4 Bedroom Terrace Duplex At Orchid Road Lekki With A Good Title, By Orchid Hotel Orchid Road Lekki 2nd Toll Gate Chevron Lafiaji Lekki Lagos ,65000000,4,4,5,2023-05-29,Lagos,Lekki
103,Massive 4 Bedroom Semi Detached Duplex In A Beautiful Estate, Riverpark Estate Lugbe Abuja Phase 4 Abuja ,130000000,4,4,5,2023-05-29,Abuja,4
104,5bedroom Fully Detached Duplex With A Bq, Lekki County Homes Ikota Lekki Lagos ,220000000,5,5,6,2023-05-29,Lagos,Lekki
105,Tastefully Furnished 5 Bedrooms Detached Duplex In A Beautiful Estate, Riverpark Estate Lugbe Abuja Phase 4 Abuja ,300000000,5,5,6,2023-05-29,Abuja,4
106,Tastefully Finished 5 Bedroom Detached Duplex In A Gated Estate, Beach Resort Estate Osapa Lekki Lagos ,305000000,5,5,6,2023-05-29,Lagos,Lekki
107,Massive 4 Bedroom Terrace Duplex, Vgc Victoria Garden City Lekki Lagos ,85000000,4,4,5,2023-05-29,Lagos,Lekki
108,Unveiling An Exquisite Oasis: Luxurious 4 Bedroom Terrace Duplex In Prime Location, Victoria Garden City Estate Lagos. Victoria Garden City Lekki Lagos ,220000000,4,4,5,2023-05-29,Lagos,Lekki
109,4bedroom Semi Detached Duplex With A Bq, Orchid Lekki Lagos ,85000000,4,4,5,2023-05-29,Lagos,Lekki
110,Brand New 4bedroom Semidetached House With A Bq, 2nd Toll Gate Ikota Lekki Lagos ,90000000,4,4,4,2023-05-27,Lagos,Lekki
111,Tastefully Finished 5 Bedroom Detached Duplex With Excellent Finishing, Mabushi Abuja Phase 1 Abuja ,285000000,5,5,6,2023-05-29,Abuja,1
112,4 Bedroom Detached Penthouse Duplex With Bq, Oko Ado Ajah Ajah Lagos ,80000000,4,5,6,2023-05-29,Lagos,Ajah
113,Massive 5bedroom House With Bq, Serviced Estate Chevron Drive Lekki Lagos ,130000000,5,5,6,2023-05-29,Lagos,Lekki
114,Tastefully Finished 6 Bedroom Detached Duplex With Swimming Pool, Pinnock Beach Estate Osapa Lekki Lagos ,800000000,6,6,7,2023-05-29,Lagos,Lekki
115,Beautifully Built 5 Bedroom Fully Detached Duplex, Osapa Lekki Lagos ,185000000,5,6,6,2023-05-29,Lagos,Lekki
116,Tastefully Finished 7 Bedroom Detached Duplex With Swimming Pool, Gwarimpa Abuja Phase 3 Abuja ,500000000,7,7,8,2023-05-29,Abuja,3
117,3bedroom Terrace Duplex, Ikota Lekki Lagos ,45000000,3,3,4,2023-05-29,Lagos,Lekki
118,4bedroom Fully Detached Duplex With A Bq, Ikota Lekki Lagos ,85000000,4,4,5,2023-05-29,Lagos,Lekki
119,Classic 5bedroom Contemporary Fully Detached Duplex, Ajah Lagos ,75000000,5,0,0,2023-05-29,Lagos,Ajah
120,Newly Built 4 Bedroom Detached Duplex, Ikota Lekki Lagos ,105000000,4,4,5,2023-05-27,Lagos,Lekki
121,Brand New 4 Bedroom Semi Detached Duplex With Bq, Orchid Lekki Lagos ,70000000,4,0,0,2023-05-29,Lagos,Lekki
122,Newly Built 4 Bedroom Semi Detached Duplex With Bq, Ikota Lekki Lagos ,75000000,4,0,0,2023-05-29,Lagos,Lekki
123,Tastefully Finished 2 Bedroom Maisonette In A Strategic Location, Off Freedom Way Lekki Phase 1 Lekki Lagos ,100000000,2,2,3,2023-05-29,Lagos,Lekki
124,Tastefully Finished 4 Bedroom Detached Duplex With Bq, Orchid Hotel Road Chevron Drive Lekki Lagos ,130000000,4,4,5,2023-05-29,Lagos,Lekki
125,Tastefully Built 5 Bedroom Duplex, Mini Estate Ikate Elegushi Lekki Lagos ,150000000,5,5,6,2023-05-29,Lagos,Lekki
126,4bedroom Fully Detached Duplex With A Bq, Ikate Elegushi Lekki Lagos ,10000000,4,4,5,2023-05-29,Lagos,Lekki
127,4 Bedroom Semi Detached Duplex With Bq, Beside Vgc Ajah Ajah Lagos ,118000000,4,5,6,2023-05-29,Lagos,Ajah
128,5 Bedroom Dully Detached Duplex With Home Office And Bq, Ikate Ikate Elegushi Lekki Lagos ,250000000,5,6,7,2023-05-29,Lagos,Lekki
129,3 Bedroom Terrace Duplex With Bq, Ogombo Abraham Adesanya Ajah Lagos ,62500000,3,4,5,2023-05-29,Lagos,Ajah
130,3 Bedroom Semi Detached Duplex With Bq, Oko Ado Ajah Ajah Lagos ,65000000,3,4,5,2023-05-29,Lagos,Ajah
131,"Available Luxury Apartments Of 1bedroom Studio, Terrace Of Duplex And Semi Detached Duplex For 2,3 And 4 Bedroom With Bq At Ogombo Area", Ogombo Road By Abraham Adesanya Area Ogombo Ajah Lagos ,38000000,1,1,1,2023-05-29,Lagos,Ajah
132,4bedroom Semi Detached Duplex With A Bq, Orchid Lekki Lagos ,85000000,4,4,5,2023-05-29,Lagos,Lekki
133,Available Off Plan Project Of 3 Bedroom Maisonette At Victoria Island Lagos," Fatai Durosimi Etti Street, Victoria Island, Victoria Island Victoria Island Lagos ",200000000,3,3,4,2023-05-29,Lagos,Island
134,One Unit Available For Luxury Homes Of 3 Bedroom Town House," James Robertson, Surulere Surulere Surulere Lagos ",80000000,3,3,4,2023-05-29,Lagos,Surulere
135,Nice 4 Bedroom Terrace For Sale!!!, Ikate Elegushi Lekki Lagos ,120000000,4,6,6,2023-05-29,Lagos,Lekki
136,4bedroom Semi Detached Duplex With A Bq, Ikota Lekki Lagos ,75000000,4,4,5,2023-05-29,Lagos,Lekki
137,Dope 4 Bedroom Terrace With Bq For Sale!!!," Orchid, Lekki. Chevron Drive Lekki Lagos ",65000000,4,6,6,2023-05-29,Lagos,Lekki
138,Luxury 2 & 4 Bedroom Terrace Duplex, Ikota Lekki Lagos ,60000000,0,0,0,2023-05-29,Lagos,Lekki
139,Nice 4 Bedroom Fully Detached Duplex With Bq For Sale!!!," Orchid, 2nd Toll Gate Lekki. Chevron Drive Lekki Lagos ",80000000,4,5,5,2023-05-29,Lagos,Lekki
140,5 Bedroom Semi Detached Duplex With Bq For Rent!!!, Ikate Elegushi Lekki Lagos ,7000000,5,6,6,2023-05-29,Lagos,Lekki
141,4bedroom Semi Detached Duplex With A Bq, Ikota Lekki Lagos ,100000000,4,4,5,2023-05-29,Lagos,Lekki
142,Luxury 3 Bedroom Apartments By Freedom Way, By Freedom Way Lekki Phase 1 Lagos ,100000000,3,3,4,2023-05-27,Lagos,1
143,4bedroom Fully Detached Duplex With A Bq, Ikate Lekki Lagos ,160000000,4,4,5,2023-05-29,Lagos,Lekki
144,New Built 4 Bedroom Duplexes With Bq, Opposite Nicon Town Lekki Lagos ,160000000,4,4,5,2023-05-29,Lagos,Lekki
145,5bedroom Fully Detached Duplex With A Bq, Idado Lekki Lagos ,160000000,5,5,6,2023-05-29,Lagos,Lekki
146,5bedroom Fully Detached Duplex With A Bq, Chevron Drive Lekki Lagos ,170000000,5,5,6,2023-05-29,Lagos,Lekki
147,2 & 4 Bedroom House, Orchid Road By 2rd Toll Gate Chevron Lekki Lafiaji Lekki Lagos ,42000000,2,2,3,2023-05-29,Lagos,Lekki
148,Tastefully Finished 4 Bedroom Semi Detached Duplex With Bq, Ikate Elegushi Lekki Lagos ,135000000,4,4,5,2023-05-29,Lagos,Lekki
149,4bedroom Terrace Duplex, Orchid Lekki Lagos ,65000000,4,4,5,2023-05-29,Lagos,Lekki
150,4bedroom Detached Duplex, Ikota Lekki Lagos ,78000000,4,4,5,2023-05-29,Lagos,Lekki
151,Tastefully Finished 4 Bedroom Semi Detached Duplex With Bq, Osapa Lekki Lagos ,200000000,4,4,5,2023-05-29,Lagos,Lekki
152,Affordable 5 Bedroom Detached Duplex With Swimming Pool, Lakeview Phase 2 Estate Orchid Hotel Road Chevron Drive Lekki Lagos ,310000000,5,5,6,2023-05-29,Lagos,Lekki
153,Tastefully Finished 3 Bedroom Terrace Duplex, Apo Resettlement Apo Abuja Phase 2 Abuja ,60000000,3,3,4,2023-05-29,Abuja,2
154,Affordable Off Plan 4 Bedroom Terrace Duplex In A Shared Compound," Off Adenike Olotun Street, Ikota Gra, Ikota, Lekki, Lagos Ikota Lekki Lagos ",60000000,4,4,5,2023-05-27,Lagos,Lekki
155,Brand New 4 Bedroom Duplex With Bq, Off Primewater Road Ikate Elegushi Lekki Lagos ,125000000,4,4,5,2023-05-29,Lagos,Lekki
156,5 Bedroom Contemporary Fully Detached Duplex, Osapa London Lekki Osapa Lekki Lagos ,450000000,0,0,0,2023-05-29,Lagos,Lekki
157,Classroom Smart 5bedroom Fully Detached Duplex In A Serviced Estate, Nnpc Estate Atreet Wuye Abuja Phase 2 Abuja ,370000000,5,5,6,2023-05-29,Abuja,2
158,Massive 6 Bedroom Detached Duplex With Excellent Finishing, Apo Zone D Apo Abuja Phase 2 Abuja ,280000000,6,6,7,2023-05-29,Abuja,2
159,Available Luxury Homes Of Apartment And Terrace Duplex," Off Cis Road, Freedom Way, Elegushi Royal Layout, Lekki Phase 1, Lagos Lekki Phase 1 Lekki Lagos ",90000000,3,3,4,2023-05-29,Lagos,Lekki
160,Pay And Pack In 2 Bedroom Duplex At Sangotedo, Amity Estate Sangotedo Sangotedo Ajah Lagos ,27000000,2,2,3,2023-05-29,Lagos,Ajah
161,Available Luxury Of 2 Bedroom Apartment And 3bedroom Maisonette With Bq At Ikate Lekki Lagos. (camberwell Advantage 3)," Gbangbanla, Elegunshi Palace Ikate Lekki Lagos Ikate Elegushi Lekki Lagos ",80000000,2,2,3,2023-05-29,Lagos,Lekki
162,4 Bedroom Semi Detached Duplex With Bq, Parkview Estate Ikoyi Lagos ,380000000,4,4,5,2023-05-29,Lagos,Ikoyi
163,"5 Bedroom Duplex Smart House With A Bq, Swimming Pool,", Lekki Palm Estate Ado Ajah Addo Ajah Lagos ,125000000,5,5,6,2023-05-29,Lagos,Ajah
164,Tastefully Finished 3 Bedroom Terrace, Chisco Ikate Ikate Elegushi Lekki Lagos ,85000000,3,3,4,2023-05-27,Lagos,Lekki
165,Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool + Cinema, Royal Garden Estate Ajah Ajah Lagos ,400000000,5,5,6,2023-05-29,Lagos,Ajah
166,Beautiful Off Plan 3bedroom Bungalow With Solar Lights Inside An Estate, Oribanwa Awoyaya Ajah Lagos Awoyaya Ajah Lagos ,37000000,3,3,4,2023-05-29,Lagos,Ajah
167,Massive 4 Bedroom Duplex With Bq, Whiteoak Estate Lekki Phase 1 Lekki Lagos ,130000000,4,4,5,2023-05-29,Lagos,Lekki
168,2 Bedroom Duplex With Bq, By Friends Colony Estate Osapa Lekki Lagos ,70000000,2,2,3,2023-05-29,Lagos,Lekki
169,Tastefully Built 5 Bedroom Duplex, Osapa Lekki Lagos ,185000099,5,6,6,2023-05-29,Lagos,Lekki
170,4bedroom Semi Detached Duplex With A Bq, Orchid Lekki Lagos ,85000000,4,4,5,2023-05-29,Lagos,Lekki
171,Tastefully Finished 5 Bedroom Detached Duplex With Bq, Opposite Maitama By Nicon Junction Katampe Main Abuja Phase 2 Abuja ,220000000,5,5,6,2023-05-29,Abuja,2
172,Massive 3 Bedroom Detached Bungalow With 2 Rooms Bq, Trademore Lugbe Abuja Phase 4 Abuja ,65000000,3,3,4,2023-05-29,Abuja,4
173,Tastefully Finished Semi Detached 4 Bedroom With Bq, Kusenla Road Ikate Elegushi Lekki Lagos ,100000000,4,4,5,2023-05-29,Lagos,Lekki
174,Fully Detached 5 Bedroom With Bq Duplex And A Swimming Pool, Divine Homes Thomas Estate Ajah Lagos ,95000000,6,6,7,2023-05-29,Lagos,Ajah
175,Brand New 4 Bedroom Fully Detached Duplex With Bq," Monastery Road, Shoprite, Sangotedo, Lekki Sangotedo Ajah Lagos ",95000000,4,4,5,2023-05-29,Lagos,Ajah
176,Neatly Finished 4 Bedroom Detached Duplex, Ikota Villa Ikota Lekki Lagos ,90000000,4,4,5,2023-05-27,Lagos,Lekki
177,4 Bedroom Semi Detached Duplex With Bq For Sale!!!!, Ikate Elegushi Lekki Lagos ,330000000,4,6,6,2023-05-29,Lagos,Lekki
178,Luxury 4 Bedroom Semi Detached Duplex, Ajah Lagos ,70000000,4,0,0,2023-05-29,Lagos,Ajah
179,Affordable Luxury 4 Bedroom Smart Terrace Duplex, Orchid Road By 2nd Toll Gate Chevron Lekki Epe Expressway Lafiaji Lekki Lagos ,58000000,4,4,5,2023-05-29,Lagos,Lekki
